REPORTE GLAZING RATIOS
================================================================================

PRODUCTOS CON VALORES SOSPECHOSOS (>100):

00154: 500.0 ml
00278: 500.0 ml
00282: 500.0 ml
00294: 500.0 ml
00295: 500.0 ml
00511: 500.0 ml
00476: 450.0 ml
00038: 400.0 ml
00124: 400.0 ml
00297: 400.0 ml
00330: 400.0 ml
00338: 400.0 ml
00408: 400.0 ml
00419: 400.0 ml
00436: 400.0 ml
00462: 400.0 ml
00469: 400.0 ml
00480: 400.0 ml
00481: 400.0 ml
00501: 400.0 ml
00049: 300.0 ml
00162: 300.0 ml
00222: 300.0 ml
00283: 300.0 ml
00044: 250.0 ml
00058: 250.0 ml
00140: 250.0 ml
00220: 250.0 ml
00319: 250.0 ml
00447: 250.0 ml
00448: 250.0 ml
00513: 250.0 ml
00165: 220.0 ml
00357: 220.0 ml
00376: 220.0 ml
00088: 200.0 ml
00097: 200.0 ml
00108: 200.0 ml
00113: 200.0 ml
00117: 200.0 ml
00120: 200.0 ml
00121: 200.0 ml
00137: 200.0 ml
00194: 200.0 ml
00195: 200.0 ml
00198: 200.0 ml
00258: 200.0 ml
00259: 200.0 ml
00261: 200.0 ml
00271: 200.0 ml
00274: 200.0 ml
00438: 200.0 ml
00449: 200.0 ml
00477: 200.0 ml
00514: 200.0 ml
00083: 150.0 ml
00098: 150.0 ml
00205: 150.0 ml
00266: 150.0 ml
00384: 150.0 ml
00418: 150.0 ml
00502: 150.0 ml
00359: 120.0 ml
00382: 120.0 ml
00041: 750.0 ml
00264: 700.0 ml
00265: 700.0 ml
00022: 600.0 ml
00047: 600.0 ml
00163: 600.0 ml
00324: 600.0 ml
00497: 600.0 ml

Total a revisar: 72
