CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00010	OPTIMIZE INTEGRATION GROUP INC.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00012	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00016	AQUAGOLD S.A.	COLA	10 Und * 4 Lb	SIN MARCA
00017	AQUAGOLD S.A.	COLA	10 Und * 4 Lb	SIN MARCA
00018	AQUAGOLD S.A.	COLA	10 Und * 4 Lb	SIN MARCA
00020	ZHEJIANG YIWU CHINA COMMODITY CITY IMPOR	COLA	10 Und * 2 Kg	AQUAGOLD
00021	ZHEJIANG YIWU CHINA COMMODITY CITY IMPOR	COLA	10 Und * 2 Kg	SIN MARCA
00022	OPTIMIZE INTEGRATION GROUP INC.	ENTERO	10 Und * 1.4 Kg	AQUAGOLD
00024	TIANJIN YINGBIN SUPPLY CHAIN CO., LTD 	COLA	10 Und * 2 Kg	AQUAGOLD
00026	PESCANOVA INC	ENTERO	10 Und * 4 Lb	SUNDAYS BEST
00027	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	SIN MARCA
00028	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	SIN MARCA
00034	BLUE PACIFIC LLC	ENTERO	10 Und * 3.92 Lb	MAJESTIC
00035	CASMARK SEAFOODS LTD	ENTERO	6 Und * 4 Lb	AQUAGOLD
00036	INTEROCEAN SEAFOOD TRADER INC	ENTERO	10 Und * 4 Lb	BAY RIVER
00037	SEAFOOD TRADING COMPANY SARL	ENTERO	6 Und * 1.85 Kg	OCEAN
00039	INTERATLANTIC FISH S.L.U.	ENTERO	10 Und * 2 Kg	SIN MARCA
00041	BLUE PACIFIC LLC	COLA	10 Und * 3.84 Lb	MAJESTIC
00042	INTEROCEAN SEAFOOD TRADER INC	COLA	10 Und * 4 Lb	BAY RIVER
00043	IMAEX TRADING CO. INC.	ENTERO	10 Und * 4 Lb	BEAUTY WING
00044	PESCANOVA INC	COLA	10 Und * 4 Lb	SUNDAYS BEST
00045	AQUAGOLD S.A.	COLA	10 Und * 4 Lb	SIN MARCA
00046	AZ GEMS INC.	COLA	6 Und * 4 Lb	AQUA GEMS
00047	FOOD MASTERS	ENTERO	10 Und * 1.4 Kg	AQUAGOLD
00048	SN TRADING	ENTERO	2 Und * 12 Kg	SIN MARCA
00049	SCARPA WORLDWIDE LIMITED	COLA	10 Und * 4 Lb	SOUTHERN SEAS
00050	SEAFOOD TRADING COMPANY SARL	VALOR AGREGADO	1 Und * 40 Lb	SIN MARCA
00051	MAISON MER	ENTERO	2 Und * 12 Kg	SIN MARCA
00052	SIORAS NIKITAS & CO	ENTERO	3 Und * 4 Kg	VITAGULF
00053	AZ GEMS INC.	COLA	10 Und * 4 Lb	AQUA GEMS
00054	OCEAN GARDEN	COLA	6 Und * 5 Lb	OCEAN GARDEN
00055	ACADIAN FISH CO	COLA	10 Und * 4 Lb	VITAGULF
00056	MARUHA NICHIRO CORPORATION	ENTERO	6 Und * 2 Kg	AQUAGOLD
00057	SI2A	ENTERO	10 Und * 2 Kg	AQUAGOLD
00058	SCARPA WORLDWIDE LIMITED	COLA	10 Und * 4 Lb	CAMARON KING
00059	CH. J. PANTAZIS S. A.	ENTERO	6 Und * 2 Kg	AQUAGOLD
00060	EVERGLORY INT TRADING (SA) CC	ENTERO	1 Und * 12 Kg	AQUAGOLD
00062	DISTRIBUIDORA CAMAVINGA SA DE CV	ENTERO	1 Und * 12 Kg	SIN MARCA
00063	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00064	FRESH&GOOD OÜ	ENTERO	1 Und * 12 Kg	AQUAGOLD
00065	Monarch Trading, LLC	COLA	2 Und * 20 Lb	SIN MARCA
00066	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00067	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	SIN MARCA
00068	SN TRADING	ENTERO	2 Und * 12 Kg	SIN MARCA
00069	MAISON MER	ENTERO	2 Und * 12 Kg	SIN MARCA
00070	EVERGLORY INT TRADING (SA) CC	ENTERO	1 Und * 12 Kg	AQUAGOLD
00071	CASMARK SEAFOODS LTD	ENTERO	6 Und * 4 Lb	CK
00072	SOUTHWIND FOODS	COLA	6 Und * 4 Lb	TERRASEA
00073	GUANGDONG HONGBAO AQUATIC DEVELOPMENT	COLA	10 Und * 2 Kg	SIN MARCA
00074	Hengsheng Heyuan Economic and trade	ENTERO	1 Und * 12 Kg	VITAGULF
00075	AQUAGOLD S.A.	COLA	10 Und * 4 Lb	VITAGULF
00076	AQUAGOLD S.A.	COLA	10 Und * 1.814 Kg	SIN MARCA
00077	AQUAGOLD S.A.	COLA	1 Und * 12 Kg	AQUAGOLD
00078	AQUAGOLD S.A.	COLA	10 Und * 1.814 Kg	SIN MARCA
00079	COCEDERO DE MARISCOS	ENTERO	2 Und * 12 Kg	SIN MARCA
00081	AQUAGOLD S.A.	COLA	1 Und * 12 Kg	AQUAGOLD
00082	NV HOTTLET FROZEN FOODS	ENTERO	6 Und * 2 Kg	VITAGULF
00083	H&N GROUP	COLA	10 Und * 4 Lb	BLUE RIVER
00084	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00085	SI2A	ENTERO	1 Und * 12 Kg	AQUAGOLD
00087	AQUAGOLD S.A.	ENTERO	6 Und * 1.65 Kg	SIN MARCA
00088	METRO A.D. EXPORT-IMPORT SKOPJE	ENTERO	10 Und * 1.8 Kg	AQUAGOLD
00089	NAUTILUS SEAFOOD	COLA	10 Und * 4 Lb	VITAGULF
00091	Monarch Trading, LLC	COLA	10 Und * 4 Lb	SIN MARCA
00092	MARUHA NICHIRO CORPORATION	ENTERO	6 Und * 2 Kg	AQUAGOLD
00093	SEAFOOD TRADING COMPANY SARL	VALOR AGREGADO	12 Und * 0.80 Kg	OCEAN
00094	SEAFOOD TRADING COMPANY SARL	VALOR AGREGADO	12 Und * 0.80 Kg	OCEAN
00095	NV HOTTLET FROZEN FOODS	ENTERO	12 Und * 0.80 Kg	VITAGULF
00096	AQUA SEAFOOD LIMITED	ENTERO	6 Und * 2 Kg	AQUAGOLD
00097	EVERGLORY INT TRADING (SA) CC	ENTERO	10 Und * 0.8 Kg	JIN PAI
00098	H&N GROUP	ENTERO	10 Und * 4 Lb	BLUE RIVER
00099	EVERGLORY INT TRADING (SA) CC	COLA	6 Und * 1.80 Kg	JIN PAI
00100	METRO A.D. EXPORT-IMPORT SKOPJE	ENTERO	10 Und * 2 Kg	AQUAGOLD
00102	GALAXY GLOBAL INTERNATIONAL LLC.	ENTERO	10 Und * 4 Lb	JIN PAI
